"char1","char2","numMentions","loc"
C3PO,Leia,1,ship
Vader,Leia,1,ship
C3PO,R2D2,1,Tatooine
C3PO,R2D2,2,Tatooine
C3PO,R2D2,3,Tatooine
R2D2,Obi-wan,5,Tatooine
Leia,Obi-wan,1,Tatooine
Luke,Leia,1,Tatooine
Owen,Vader,2,Tatooine
Beru,Vader,1,Tatooine
Owen,Obi-wan,1,Tatooine
Luke,C3PO,1,Tatooine
Luke,R2D2,2,Tatooine
Luke,Biggs,1,Tatooine
Owen,R2D2,2,Tatooine
Owen,C3PO,1,Tatooine
Luke,R2D2,2,Tatooine
C3PO,R2D2,3,Tatooine
Beru,Luke,1,Tatooine
Owen,Luke,1,Tatooine
Owen,R2D2,2,Tatooine
Owen,C3PO,2,Tatooine
Luke,R2D2,1,Tatooine
C3PO,Luke,1,Tatooine
C3PO,Obi-wan,1,Tatooine
Luke,Owen,1,Tatooine
Luke,C3PO,1,Tatooine
Luke,R2D2,1,Tatooine
Obi-wan,Luke,1,Tatooine
Luke,Owen,1,Tatooine
Luke,Vader,3,Tatooine
Obi-wan,Vader,7,Tatooine
Obi-wan,Leia,1,Tatooine
Leia,R2D2,1,Tatooine
Leia,Obi-wan,2,Tatooine
Obi-wan,Owen,3,Tatooine
Tarkin,Emperor,1,Death Star
Tarkin,Vader,1,Death Star
Luke,C3PO,1,Tatooine
Luke,R2D2,1,Tatooine
Obi-wan,R2D2,1,Tatooine
Obi-wan,C3PO,1,Tatooine
Luke,Vader,1,Tatooine
Obi-wan,R2D2,2,Mos Eisley
Obi-wan,C3PO,2,Mos Eisley
Obi-wan,Luke,2,Mos Eisley
Luke,R2D2,1,Mos Eisley
Luke,C3PO,1,Mos Eisley
Obi-wan,Chewie,1,Mos Eisley
Han,Chewie,1,Mos Eisley
Obi-wan,Luke,1,Mos Eisley
Obi-wan,R2D2,1,Mos Eisley
Obi-wan,C3PO,1,Mos Eisley
Snaggletooth,Walrusman,1,Mos Eisley
Han,Jabba,2,Mos Eisley
Greedo,Jabba,3,Mos Eisley
Vader,Leia,1,Death Star
Tarkin,Leia,1,Death Star
C3PO,Luke,1,Mos Eisley
Obi-wan,Han,1,Mos Eisley
Han,Luke,1,Falcon
Han,Obi-wan,1,Falcon
Han,C3PO,1,Falcon
Han,R2D2,1,Falcon
Tarkin,Vader,1,Death Star
Leia,Vader,1,Death Star
Han,Chewie,1,Falcon
Vader,Leia,1,Death Star
Tarkin,Leia,1,Death Star
Vader,R2D2,1,Death Star
Han,Leia,1,Death Star
Luke,Leia,3,Death Star
C3PO,Leia,1,Death Star
Han,Obi-wan,1,Death Star
Obi-wan,C3PO,1,Death Star
Obi-wan,R2D2,1,Death Star
Han,Leia,1,Death Star
Leia,Obi-wan,1,Death Star
Luke,Obi-wan,1,Death Star
Luke,R2D2,1,Death Star
Tarkin,Leia,1,Death Star
Vader,Obi-wan,3,Death Star
Tarkin,Obi-wan,2,Death Star
Leia,Chewie,1,Death Star
Luke,Han,1,Death Star
Han,Leia,1,Death Star
Han,Obi-wan,2,Death Star
Tarkin,Luke,1,Death Star
Tarkin,Han,1,Death Star
Tarkin,Leia,1,Death Star
Han,R2D2,1,Falcon
Leia,R2D2,1,Falcon
Leia,Vader,1,Falcon
Leia,Tarkin,1,Falcon
Leia,R2D2,1,Yavin
Vader,Obi-wan,1,Death Star
Luke,Obi-wan,1,Yavin
Biggs,Luke,1,Yavin
Luke,R2D2,1,space
C3PO,R2D2,1,Yavin
Vader,Luke,1,space
Luke,R2D2,1,Yavin
C3PO,R2D2,1,Yavin
