Luke,Han,Hoth
Han,Chewie,Rieekan,Leia,Hoth
r2,3p,han,Hoth
r2,3p,Hoth
luke,obi,han,Hoth
leia,3p,r2,chew,Hoth
han,chew,leia,luke,Riekkan,3p,r2,Hoth
Riekkan,leia,chew,han,3p,Hoth
leia,han,chew,Riekkan,Hoth
Piett,Ozzel,dv,Veers,ship
han,chew,Hoth
han,luke,chew,Hoth
Piett,Veers,dv,Ozzel,ship
luke,dack,Hoth
Veers,dv,Hoth
luke,dack,Wedge,Hoth
Riekkan,leia,Hoth
chew,han,r2,3p,Hoth
han,3p,leia,Hoth
han,leia,3p,Hoth
han,3p,leia,Hoth
3p,han,leia,chew,Hoth
luke,r2,Hoth
han,leia,3p,chew,mf
luke,r2,Hoth
Piett,dv,ship
han,chew,3p,leia,mf
luke,yoda,r2,dago
3p,han,chew,mf
3p,han,leia,mf
Piett,dv,needa,ship
dv,emp,ship
yoda,obi,luke,dago
3p,han,chew,leia,mf
yoda,luke,r2,dago
needa,Piett,dv,boba,ship
3p,han,leia,chew,needa,ship
yoda,luke,r2,dago
dv,Piett,needa,ship
chew,3p,leia,han,boba,mf
yoda,luke,r2,dago
3p,han,lando,leia,chew,bes
yoda,obi,luke,r2,dago
han,leia,bes
chew,3p,bes
chew,leia,han,lando,bes
lando,leia,han,chew,dv,boba,bes
r2,luke,ship
chew,3p,bes
dv,lando,boba,han,bes
chew,han,lando,leia,3p,bes
lando,dv,bes
luke,r2,bes
3p,chew,han,leia,lando,dv,boba,lobot,bes
chew,boba,luke,r2,leia,lando,lobot,bes
luke,dv,bes
3p,leia,lando,lobot,chew,bes
boba,han,bes
lando,leia,boba,han,chew,3p,r2,bes
luke,dv,bes
chew,leia,3p,r2,lando,bes
chew,leia,lando,luke,obi,dv,space
leia,lando,chew,luke,mf
Piett,dv,ship
3p,r2,chew,ship
lando,chew,dv,leia,luke,ship
r2,3p,lando,leia,ship
dv,Piett,ship
leia,luke,lando,chew,r2,3p,ship
